policy,n_cases,n_captures,mean_captures,verdict_rate,verdicts_per_capture,verdict_accuracy,refer_rate,false_conviction_rate,false_conviction_ci,alpha_convict,convict_violation,false_discharge_rate,false_discharge_ci,alpha_discharge,discharge_violation,guaranteed,sensitivity,specificity,mean_final_usability
single_shot,4000,4000,1.0,0.06625,0.06625,0.8452830188679246,0.93375,0.01586687306501548,"[0.011717618988872785, 0.0214534993670575]",0.5,False,0.0,"[0.0, 0.0027056539264661635]",0.2,False,True,1.0,0.5060240963855421,0.5316348728352833
fixed_retake,4000,16000,4.0,0.378,0.0945,0.8961640211640212,0.622,0.05959752321981424,"[0.05110656174254598, 0.06939602234142578]",0.5,False,0.00211864406779661,"[0.000720772978769033, 0.006210704448008716]",0.2,False,True,0.9963414634146341,0.7774566473988439,0.5192021731090957
untargeted_evidential,4000,13959,3.48975,0.38175,0.10939179024285407,0.8925998690242305,0.61825,0.062306501547987614,"[0.053620722851426744, 0.07229177503870687]",0.5,False,0.00211864406779661,"[0.000720772978769033, 0.006210704448008716]",0.2,False,True,0.9963503649635036,0.7716312056737589,0.5258492093513969
evidential_capture,4000,13720,3.43,0.44525,0.12981049562682215,0.8961257720381808,0.5547500000000001,0.0696594427244582,"[0.060469092180116146, 0.08012745746959968]",0.5,False,0.0035310734463276836,"[0.001509155621156753, 0.008239537472495385]",0.2,False,True,0.9946695095948828,0.7864768683274022,0.6227991887888354
oracle_instruction,4000,13755,3.43875,0.43375,0.1261359505634315,0.9020172910662824,0.5662499999999999,0.06308049535603716,"[0.0543399794768102, 0.07311820807222684]",0.5,False,0.0049435028248587575,"[0.0023966428987338925, 0.010169265861792636]",0.2,False,False,0.9924160346695557,0.7992610837438424,0.6068516677372029
one_step_lookahead,4000,13729,3.43225,0.44275,0.12899701362080268,0.8944099378881988,0.55725,0.07043343653250773,"[0.06119187982257721, 0.08095035948604197]",0.5,False,0.0035310734463276836,"[0.001509155621156753, 0.008239537472495385]",0.2,False,True,0.9946808510638298,0.7809867629362214,0.6257841604890041
confidence_threshold_selective,4000,4000,1.0,0.3005,0.3005,0.8768718801996672,0.6995,0.039473684210526314,"[0.032623920878356784, 0.04769073207412685]",0.5,False,0.03248587570621469,"[0.024442734013936096, 0.043058880250641016]",0.2,False,False,0.8888888888888888,0.8705583756345178,0.5316348728352833
greedy_diagnostic,4000,8499,2.12475,0.978,0.460289445817155,0.8185071574642127,0.02200000000000002,0.1996904024767802,"[0.18472712769513036, 0.21554528465035475]",0.5,False,0.1370056497175141,"[0.1200750019778532, 0.15590057163542875]",0.2,False,False,0.8612303290414879,0.7947494033412887,0.5717414404016683
naive_best_shot,4000,16000,4.0,0.2065,0.051625,0.927360774818402,0.7935,0.0228328173374613,"[0.01774265366537186, 0.02933967162068892]",0.5,False,0.0007062146892655367,"[0.00012467190611631135, 0.003989589853787048]",0.2,False,False,0.9983633387888707,0.7255813953488373,0.6315495062603715
