policy,n_cases,n_captures,mean_captures,verdict_rate,verdicts_per_capture,verdict_accuracy,refer_rate,false_conviction_rate,false_conviction_ci,alpha_convict,convict_violation,false_discharge_rate,false_discharge_ci,alpha_discharge,discharge_violation,guaranteed,sensitivity,specificity,mean_final_usability
evidential_capture (uniform K=4),4000,12262,3.0655,0.66325,0.21635948458652748,0.8435733132303053,0.33675,0.14896927265655388,"[0.13572989604157912, 0.16325610760229556]",0.5,False,0.02239328201539538,"[0.015906299086412147, 0.03144129327829865]",0.2,False,True,0.9715808170515098,0.7491814014407334,0.6207448833344018
evidential_capture (shared budget),4000,15719,3.92975,0.9995,0.2543418792544055,0.8429214607303652,0.0004999999999999449,0.21898094126798912,"[0.20342067258580518, 0.2353797569241111]",0.5,False,0.04548635409377187,"[0.03584716881834235, 0.05756273776170112]",0.2,False,True,0.9545136459062281,0.7808485792137019,0.6422140064463719
"evidential_capture (shared budget, null)",20000,56099,2.80495,0.9999,0.3564769425479955,0.8437843784378438,9.999999999998899e-05,0.1562,"[0.15123452951291178, 0.16129751933114628]",0.5,False,nan,"[nan, nan]",0.5,False,True,0.0,0.8437843784378438,0.6146267008759179
