level,blur,glare_matte,tilt,brightness_down,moire
1,0.8858067299396031,0.8927991084268048,0.7896977758604161,0.9070690729556131,0.9014356245805771
2,0.8814926660914582,0.8310097306106797,0.8271222797430735,0.8943198159332758,0.9009419039401784
3,0.8624245038826575,0.7185936151855048,0.8386024829834148,0.9069624197104784,0.7293548077844886
4,0.8226056945642796,0.7435289042277826,0.8054548940657655,0.9054417122040073,0.6781396798005944
