policy,n_cases,n_captures,mean_captures,verdict_rate,verdicts_per_capture,verdict_accuracy,refer_rate,false_conviction_rate,false_conviction_ci,alpha_convict,convict_violation,false_discharge_rate,false_discharge_ci,alpha_discharge,discharge_violation,guaranteed,sensitivity,specificity,mean_final_usability
single_shot,3000,3000,1.0,0.10733333333333334,0.10733333333333334,0.9596273291925466,0.8926666666666667,0.013157894736842105,"[0.006937501342746923, 0.024816321048919992]",0.5,False,0.0017271157167530224,"[0.0006718293257787595, 0.004432657118468124]",0.2,False,True,0.9857142857142858,0.7857142857142857,0.5976805316313258
fixed_retake,3000,12000,4.0,0.5653333333333334,0.14133333333333334,0.90625,0.43466666666666665,0.09941520467836257,"[0.07917935168016646, 0.12412559527273664]",0.5,False,0.03929188255613126,"[0.032111766000178586, 0.04799784148336684]",0.2,False,True,0.9303215926493109,0.8256410256410256,0.5893141799551199
untargeted_evidential,3000,9530,3.1766666666666667,0.5653333333333334,0.17796432318992655,0.90625,0.43466666666666665,0.09941520467836257,"[0.07917935168016646, 0.12412559527273664]",0.5,False,0.03929188255613126,"[0.032111766000178586, 0.04799784148336684]",0.2,False,True,0.9303215926493109,0.8256410256410256,0.592176194203077
evidential_capture,3000,9304,3.1013333333333333,0.626,0.2018486672398968,0.9041533546325878,0.374,0.1067251461988304,"[0.08574249566745329, 0.13210068218046983]",0.5,False,0.04620034542314335,"[0.03837647131176733, 0.05552718142038472]",0.2,False,True,0.9257975034674064,0.8325688073394495,0.6554712872851663
greedy_diagnostic,3000,5803,1.9343333333333332,0.83,0.429088402550405,0.891566265060241,0.17000000000000004,0.21198830409356725,"[0.1830099474547204, 0.24418375528149097]",0.5,False,0.05397236614853195,"[0.04548608878012193, 0.06393586485671258]",0.2,False,False,0.9365482233502538,0.7211538461538461,0.6257142012380583
naive_best_shot,3000,12000,4.0,0.6423333333333333,0.16058333333333333,0.9242345614945511,0.3576666666666667,0.15204678362573099,"[0.12708576723737072, 0.1808944421596765]",0.5,False,0.018134715025906734,"[0.013444250020906162, 0.024421093888781463]",0.2,False,False,0.9734513274336283,0.6985507246376812,0.6691345458633552
