policy,n_cases,n_captures,mean_captures,verdict_rate,verdicts_per_capture,verdict_accuracy,refer_rate,false_conviction_rate,false_conviction_ci,alpha_convict,convict_violation,false_discharge_rate,false_discharge_ci,alpha_discharge,discharge_violation,guaranteed,sensitivity,specificity,mean_final_usability
single_shot,4000,4000,1.0,0.09675,0.09675,0.751937984496124,0.90325,0.03655750190403656,"[0.030029748153239576, 0.04443922366620386]",0.5,False,0.0,"[0.0, 0.002788128911189792]",0.2,False,True,1.0,0.04,0.5240899838571563
fixed_retake,4000,16000,4.0,0.5635,0.140875,0.8589174800354925,0.4365,0.11538461538461539,"[0.10372277853920686, 0.12817012329944386]",0.5,False,0.010917030567685589,"[0.006626873080011202, 0.017934440789449554]",0.2,False,True,0.9848024316109423,0.760852407261247,0.514387302169025
untargeted_evidential,4000,12720,3.18,0.57425,0.1805817610062893,0.8454505877231171,0.42574999999999996,0.12795125666412796,"[0.1157163173918919, 0.14127315300054544]",0.5,False,0.013828238719068414,"[0.008870336209052573, 0.02149716031594711]",0.2,False,True,0.9808660624370594,0.7423312883435583,0.5276185201035553
evidential_capture,4000,12387,3.09675,0.67425,0.21772826350205862,0.8509454949944383,0.32575,0.14623000761614624,"[0.1332323554910813, 0.16026121461595483]",0.5,False,0.013100436681222707,"[0.008302480729562606, 0.020613470131552344]",0.2,False,True,0.9835164835164835,0.7607476635514019,0.6185064177070838
single_shot,4000,4000,1.0,0.17275,0.17275,0.7655571635311144,0.82725,0.059025133282559025,"[0.05063890681864272, 0.06869968756666171]",0.5,False,0.005094614264919942,"[0.0024699657159620953, 0.010478982842420815]",0.2,False,True,0.9819121447028424,0.4901315789473684,0.7389174888715553
fixed_retake,4000,16000,4.0,0.708,0.177,0.8594632768361582,0.29200000000000004,0.13670982482863672,"[0.12409964357202256, 0.15038137460032674]",0.5,False,0.028384279475982533,"[0.020832313971994643, 0.03856609583069966]",0.2,False,True,0.9660574412532638,0.7866904337492573,0.7290741177611678
untargeted_evidential,4000,11223,2.80575,0.73025,0.26026909026107103,0.8394385484423142,0.26975000000000005,0.16031987814166032,"[0.14678426630913288, 0.1748478806612398]",0.5,False,0.034934497816593885,"[0.026449517822010125, 0.046012802955646755]",0.2,False,True,0.9587982832618026,0.760250569476082,0.7536563430284381
evidential_capture,4000,10966,2.7415,0.7895,0.28798103228159766,0.8337555414819506,0.21050000000000002,0.18354912414318356,"[0.16920857132472994, 0.19881420236627872]",0.5,False,0.03129548762736536,"[0.02331612973960804, 0.041888462718625195]",0.2,False,True,0.9636517328825022,0.7559493670886076,0.8328811276843111
