degradation,pearson_r,mae
blur,0.886800864434016,0.063861813907533
glare,0.3371148994515014,0.13496632159530192
angle,0.10288631867453939,0.1477710401249292
low_light,0.6805202047724498,0.11177219126250597
jpeg,0.1990980197084518,0.08532899123102168
