policy,n_cases,n_captures,mean_captures,verdict_rate,verdicts_per_capture,verdict_accuracy,refer_rate,false_conviction_rate,false_conviction_ci,alpha_convict,convict_violation,false_discharge_rate,false_discharge_ci,alpha_discharge,discharge_violation,guaranteed,sensitivity,specificity,mean_final_usability
single_shot,3000,3000,1.0,0.44766666666666666,0.44766666666666666,0.9344750558451228,0.5523333333333333,0.09941520467836257,"[0.07917935168016646, 0.12412559527273664]",0.5,False,0.008635578583765112,"[0.005597136700911809, 0.013301394991941702]",0.2,False,True,0.9826238053866203,0.6458333333333334,0.5976805316313258
fixed_retake,3000,12000,4.0,0.864,0.216,0.8707561728395061,0.136,0.2046783625730994,"[0.17613044316302764, 0.2365250286781637]",0.5,False,0.08419689119170984,"[0.07356455544040558, 0.09620634615908294]",0.2,False,True,0.9035608308605341,0.7543859649122807,0.5893141799551199
untargeted_evidential,3000,5980,1.9933333333333334,0.865,0.43394648829431437,0.8709055876685935,0.135,0.2046783625730994,"[0.17613044316302764, 0.2365250286781637]",0.5,False,0.08419689119170984,"[0.07356455544040558, 0.09620634615908294]",0.2,False,True,0.9037037037037037,0.7543859649122807,0.5960243762867449
evidential_capture,3000,5856,1.952,0.8856666666666667,0.4537226775956284,0.8682724877681596,0.11433333333333329,0.2149122807017544,"[0.1857658349124119, 0.24724316018180748]",0.5,False,0.08765112262521589,"[0.07680608472580731, 0.09986183949798454]",0.2,False,True,0.9010721247563352,0.7570247933884298,0.6292732521334019
greedy_diagnostic,3000,5803,1.9343333333333332,0.83,0.429088402550405,0.891566265060241,0.17000000000000004,0.21198830409356725,"[0.1830099474547204, 0.24418375528149097]",0.5,False,0.05397236614853195,"[0.04548608878012193, 0.06393586485671258]",0.2,False,False,0.9365482233502538,0.7211538461538461,0.6257142012380583
naive_best_shot,3000,12000,4.0,0.6423333333333333,0.16058333333333333,0.9242345614945511,0.3576666666666667,0.15204678362573099,"[0.12708576723737072, 0.1808944421596765]",0.5,False,0.018134715025906734,"[0.013444250020906162, 0.024421093888781463]",0.2,False,False,0.9734513274336283,0.6985507246376812,0.6691345458633552
