policy,n_cases,n_captures,mean_captures,verdict_rate,verdicts_per_capture,verdict_accuracy,refer_rate,false_conviction_rate,false_conviction_ci,alpha_convict,convict_violation,false_discharge_rate,false_discharge_ci,alpha_discharge,discharge_violation,guaranteed,sensitivity,specificity,mean_final_usability
single_shot,1500,1500,1.0,0.498,0.498,0.9317269076305221,0.502,0.08027923211169284,"[0.06072429022369239, 0.10542461443228252]",0.5,False,0.005393743257820928,"[0.0023059857037848247, 0.012563998620078655]",0.2,False,True,0.9913344887348353,0.7294117647058823,0.5874975052496929
fixed_retake,1500,6000,4.0,0.8446666666666667,0.21116666666666667,0.8745067087608525,0.15533333333333332,0.1431064572425829,"[0.11680731893963407, 0.17415921329382486]",0.5,False,0.08306364617044229,"[0.066971676562913, 0.10259702341783561]",0.2,False,True,0.905982905982906,0.8169642857142857,0.5796900418758226
untargeted_evidential,1500,3007,2.0046666666666666,0.8466666666666667,0.42234785500498834,0.8724409448818897,0.15333333333333332,0.14834205933682373,"[0.12158329763421338, 0.17978470356403586]",0.5,False,0.08306364617044229,"[0.066971676562913, 0.10259702341783561]",0.2,False,True,0.905982905982906,0.811529933481153,0.5848934069318689
evidential_capture,1500,2953,1.9686666666666666,0.878,0.44598713173044363,0.8747152619589977,0.122,0.17102966841186737,"[0.1424146049605337, 0.20402642841847368]",0.5,False,0.07227615965480043,"[0.057312901039327686, 0.09076986621129798]",0.2,False,True,0.9192771084337349,0.7987679671457906,0.621634269757218
greedy_diagnostic,1500,2186,1.4573333333333334,0.854,0.5860018298261666,0.8696330991412958,0.14600000000000002,0.24083769633507854,"[0.20762645644615274, 0.27750082979672575]",0.5,False,0.03128371089536138,"[0.021868602588113698, 0.04456762028804484]",0.2,False,False,0.9655990510083037,0.684931506849315,0.6017752634168784
naive_best_shot,1500,6000,4.0,0.636,0.159,0.9255765199161425,0.364,0.11169284467713787,"[0.0884438445101366, 0.1401138739345803]",0.5,False,0.007551240560949299,"[0.003662504162377755, 0.015504666707510311]",0.2,False,False,0.9898107714701602,0.7602996254681648,0.6690304009496829
