policy,n_cases,n_captures,mean_captures,verdict_rate,verdicts_per_capture,verdict_accuracy,refer_rate,false_conviction_rate,false_conviction_ci,alpha_convict,convict_violation,false_discharge_rate,false_discharge_ci,alpha_discharge,discharge_violation,guaranteed,sensitivity,specificity,mean_final_usability
single_shot,3000,3000,1.0,0.5113333333333333,0.5113333333333333,0.9191655801825294,0.4886666666666667,0.09407665505226481,"[0.0785166493187446, 0.11234431628624832]",0.5,False,0.008639308855291577,"[0.005324749346391039, 0.013988105802453561]",0.2,False,True,0.985480943738657,0.75,0.5853895061632408
fixed_retake,3000,12000,4.0,0.8263333333333334,0.20658333333333334,0.8705123033481242,0.17366666666666664,0.15940766550522648,"[0.13937300700624022, 0.18171419804000916]",0.5,False,0.07451403887688984,"[0.06341453202516595, 0.08737506122460278]",0.2,False,True,0.9122137404580153,0.7982359426681367,0.5773528966409052
untargeted_evidential,3000,6151,2.050333333333333,0.8273333333333334,0.4035116241261584,0.8698630136986302,0.17266666666666663,0.1602787456445993,"[0.1401947094085769, 0.1826288454968892]",0.5,False,0.07505399568034557,"[0.06391384740535544, 0.08795342402556841]",0.2,False,True,0.9116338207247299,0.7975797579757976,0.583131769001845
evidential_capture,3000,6009,2.003,0.8616666666666667,0.43018805125644866,0.8634429400386847,0.1383333333333333,0.17857142857142858,"[0.1574992462051562, 0.20178765574386176]",0.5,False,0.07991360691144708,"[0.06841555852510045, 0.09315081653621943]",0.2,False,True,0.9079029247044181,0.7903885480572597,0.6202402265169036
greedy_diagnostic,3000,4481,1.4936666666666667,0.835,0.5590270029011382,0.8582834331337326,0.16500000000000004,0.25609756097560976,"[0.2316909414340292, 0.2821310979852798]",0.5,False,0.032937365010799136,"[0.025726806623095726, 0.04208156667772909]",0.2,False,False,0.9625766871165644,0.664,0.6014494249001543
naive_best_shot,3000,12000,4.0,0.615,0.15375,0.9246612466124661,0.385,0.11149825783972125,"[0.09457083008998135, 0.13101713269934662]",0.5,False,0.005939524838012959,"[0.0033197403466402957, 0.010604723896428726]",0.2,False,False,0.9917849141150112,0.7470355731225297,0.6660765746179127
