policy,n_cases,n_captures,mean_captures,verdict_rate,verdicts_per_capture,verdict_accuracy,refer_rate,false_conviction_rate,false_conviction_ci,alpha_convict,convict_violation,false_discharge_rate,false_discharge_ci,alpha_discharge,discharge_violation,guaranteed,sensitivity,specificity,mean_final_usability
single_shot,1500,1500,1.0,0.698,0.698,0.66189111747851,0.30200000000000005,0.6178010471204188,"[0.5773538669344085, 0.656679184773374]",0.5,True,0.0,"[0.0, 0.004127017958802013]",0.2,False,True,1.0,0.0,0.4199606002158278
fixed_retake,1500,6000,4.0,0.8653333333333333,0.21633333333333332,0.635593220338983,0.1346666666666667,0.7888307155322862,"[0.7535447230261823, 0.8202696481980847]",0.5,True,0.022653721682847898,"[0.01486385448601795, 0.03438362220604223]",0.2,False,True,0.9746376811594203,0.03829787234042553,0.4210719281155863
untargeted_evidential,1500,2544,1.696,0.866,0.5106132075471698,0.6351039260969977,0.134,0.7905759162303665,"[0.7553787045717977, 0.8219028229740659]",0.5,True,0.022653721682847898,"[0.01486385448601795, 0.03438362220604223]",0.2,False,True,0.9746376811594203,0.03821656050955414,0.42505299191730844
evidential_capture,1500,2529,1.686,0.864,0.5124555160142349,0.6365740740740741,0.136,0.8010471204188482,"[0.7664020370110038, 0.8316824284644404]",0.5,True,0.012944983818770227,"[0.00742027954014802, 0.022489857694801517]",0.2,False,True,0.9854368932038835,0.02754237288135593,0.4252503685384225
