policy,n_cases,n_captures,mean_captures,verdict_rate,verdicts_per_capture,verdict_accuracy,refer_rate,false_conviction_rate,false_conviction_ci,alpha_convict,convict_violation,false_discharge_rate,false_discharge_ci,alpha_discharge,discharge_violation,guaranteed,sensitivity,specificity,mean_final_usability
single_shot,4000,4000,1.0,0.118,0.118,0.75,0.882,0.0456656346749226,"[0.03826859458732969, 0.05441157563638106]",0.5,False,0.0,"[0.0, 0.0027056539264661635]",0.2,False,True,1.0,0.04065040650406504,0.5316348728352833
fixed_retake,4000,16000,4.0,0.58025,0.1450625,0.8526497199482982,0.41974999999999996,0.12616099071207432,"[0.11391111957445405, 0.13952077517520917]",0.5,False,0.011299435028248588,"[0.006967021861458195, 0.018276357400003086]",0.2,False,True,0.9844810863239574,0.7472868217054264,0.5192021731090957
untargeted_evidential,4000,12474,3.1185,0.5925,0.18999518999519,0.839240506329114,0.4075,0.14009287925696595,"[0.1272437263912894, 0.15401058221863478]",0.5,False,0.013418079096045197,"[0.00860673305069905, 0.02086246971107382]",0.2,False,True,0.9816779170684667,0.7284321080270068,0.5325120978270534
evidential_capture,4000,12126,3.0315,0.6825,0.22513607125185553,0.8424908424908425,0.3175,0.15673374613003097,"[0.14322686793057496, 0.17125976834577208]",0.5,False,0.01765536723163842,"[0.011986967749555932, 0.025933882012840102]",0.2,False,True,0.9781659388646288,0.7444794952681388,0.6173887044850657
oracle_instruction,4000,12151,3.03775,0.66375,0.21850053493539626,0.8429378531073446,0.33625000000000005,0.15247678018575853,"[0.13913258521453534, 0.16685275793784307]",0.5,False,0.016242937853107344,"[0.010847557770854745, 0.024256076324666902]",0.2,False,True,0.9795918367346939,0.7421465968586387,0.6049401336600528
one_step_lookahead,4000,12122,3.0305,0.676,0.22306550074245174,0.8409763313609467,0.32399999999999995,0.15673374613003097,"[0.14322686793057496, 0.17125976834577208]",0.5,False,0.01765536723163842,"[0.011986967749555932, 0.025933882012840102]",0.2,False,True,0.9781849912739965,0.7400513478818999,0.6200105877649523
confidence_threshold_selective,4000,4000,1.0,0.3005,0.3005,0.8768718801996672,0.6995,0.039473684210526314,"[0.032623920878356784, 0.04769073207412685]",0.5,False,0.03248587570621469,"[0.024442734013936096, 0.043058880250641016]",0.2,False,False,0.8888888888888888,0.8705583756345178,0.5316348728352833
greedy_diagnostic,4000,8499,2.12475,0.978,0.460289445817155,0.8185071574642127,0.02200000000000002,0.1996904024767802,"[0.18472712769513036, 0.21554528465035475]",0.5,False,0.1370056497175141,"[0.1200750019778532, 0.15590057163542875]",0.2,False,False,0.8612303290414879,0.7947494033412887,0.5717414404016683
naive_best_shot,4000,16000,4.0,0.2065,0.051625,0.927360774818402,0.7935,0.0228328173374613,"[0.01774265366537186, 0.02933967162068892]",0.5,False,0.0007062146892655367,"[0.00012467190611631135, 0.003989589853787048]",0.2,False,False,0.9983633387888707,0.7255813953488373,0.6315495062603715
