policy,n_cases,n_captures,mean_captures,verdict_rate,verdicts_per_capture,verdict_accuracy,refer_rate,false_conviction_rate,false_conviction_ci,alpha_convict,convict_violation,false_discharge_rate,false_discharge_ci,alpha_discharge,discharge_violation,guaranteed,sensitivity,specificity,mean_final_usability
fixed_retake (sequential),4000,16000,4.0,0.567,0.14175,0.8465608465608465,0.43300000000000005,0.1251435132032147,"[0.1130041913472184, 0.13838343563028]",0.5,False,0.01514059120403749,"[0.009923917261348203, 0.023035695105725083]",0.2,False,True,0.9792284866468842,0.7398568019093079,0.5156666003741157
burst_fusion (mismatched null),4000,16000,4.0,0.03075,0.0076875,0.991869918699187,0.96925,0.0003827018752391887,"[6.755773499602866e-05, 0.002164751626029109]",0.5,False,0.0,"[0.0, 0.0027620686640376585]",0.2,False,True,1.0,0.0,0.5431947985561113
burst_fusion (own null),4000,16000,4.0,0.52725,0.1318125,0.9307728781412992,0.47275,0.047455032529659394,"[0.039946208411348924, 0.05629255514239463]",0.5,False,0.015861571737563085,"[0.01049774989280812, 0.023899840745838292]",0.2,False,True,0.9749715585893061,0.8991869918699187,0.5431947985561113
